Employment_Type,Education_Level,Income,Credit_Score,Existing_Debt,Marital_Status,Loan_Purpose,Loan_status
Business Owner,Masters,120679,545,25231,Single,Medical,Yes
Business Owner,Masters,479677,837,73352,Single,Business,Yes
Business Owner,Masters,450057,476,191553,Divorced,Business,No
Business Owner,Masters,78903,549,63481,Divorced,School,No
Self-Employed,Degree,371849,559,82721,Single,House,Yes
Business Owner,Diploma,222130,468,75549,Married,Car,Yes
Unemployed,Secondary,101944,840,120495,Divorced,Medical,No
Employed,Diploma,424427,435,29182,Divorced,Medical,No
Employed,Masters,41660,635,191043,Divorced,Business,Yes
Business Owner,Masters,253488,661,157639,Married,Business,No
Unemployed,Masters,400128,733,145609,Single,Business,No
Self-Employed,Diploma,126249,826,123694,Single,Car,No
Employed,Masters,132892,520,71694,Single,Car,Yes
Self-Employed,Diploma,272827,805,118771,Divorced,School,Yes
Unemployed,Secondary,369910,714,75972,Divorced,Business,Yes
Employed,Secondary,136550,406,127936,Divorced,Car,No
Unemployed,Degree,329331,665,147619,Single,Medical,Yes
Business Owner,Masters,133847,648,199433,Single,Medical,No
Business Owner,Secondary,79851,671,94048,Single,School,No
Unemployed,Masters,102595,506,64835,Married,House,Yes
Business Owner,Secondary,423153,498,1990,Divorced,Medical,Yes
Business Owner,Masters,401815,678,54785,Married,School,Yes
Unemployed,Masters,261446,669,154752,Single,School,No
Business Owner,Secondary,414087,655,57088,Divorced,Medical,Yes
Unemployed,Secondary,470661,805,113466,Divorced,House,Yes
Employed,Degree,351216,517,147409,Divorced,Business,Yes
Business Owner,Diploma,485973,361,58800,Single,Car,No
Employed,Degree,192758,366,73341,Divorced,Business,Yes
Self-Employed,Secondary,97849,417,86359,Married,Car,Yes
Employed,Secondary,310713,425,158900,Single,House,No
Business Owner,Degree,188478,369,193920,Married,School,Yes
Business Owner,Masters,288827,421,157379,Married,House,No
Business Owner,Masters,78839,614,69503,Single,School,No
Employed,Secondary,420430,461,47460,Single,Medical,Yes
Business Owner,Diploma,465280,423,50676,Divorced,Business,No
Unemployed,Diploma,484761,495,3766,Married,Medical,Yes
Business Owner,Degree,423709,768,100594,Divorced,Medical,Yes
Employed,Secondary,443459,609,181220,Married,Car,Yes
Unemployed,Degree,110548,470,15315,Divorced,House,Yes
Business Owner,Masters,311149,462,115872,Married,School,No
Self-Employed,Masters,455105,332,183638,Married,School,No
Employed,Diploma,304742,575,2492,Married,Business,Yes
Employed,Diploma,46292,428,156098,Married,Car,No
Business Owner,Secondary,123968,300,75313,Single,Business,No
Business Owner,Secondary,219417,847,57907,Divorced,Car,Yes
Employed,Diploma,361430,521,59240,Single,Medical,Yes
Unemployed,Masters,97068,355,92248,Married,Business,Yes
Business Owner,Masters,175500,409,190750,Divorced,Medical,No
Business Owner,Masters,132500,530,29171,Single,House,Yes
Employed,Secondary,166046,697,122203,Divorced,Car,Yes
Business Owner,Masters,374932,406,85866,Single,School,No
Business Owner,Masters,305503,788,161316,Divorced,School,No
Unemployed,Diploma,167593,826,111348,Single,School,Yes
Unemployed,Diploma,199347,803,83897,Married,House,Yes
Self-Employed,Masters,476644,794,191855,Single,Medical,No
Unemployed,Masters,340056,676,182587,Divorced,School,No
Unemployed,Diploma,197330,444,137998,Single,Medical,No
Employed,Diploma,127073,499,44890,Divorced,Business,Yes
Business Owner,Secondary,211785,611,104128,Single,School,Yes
Employed,Degree,382582,511,180659,Married,House,Yes
Unemployed,Secondary,98716,669,155519,Married,Car,No
Self-Employed,Diploma,258993,650,83901,Divorced,Medical,Yes
Unemployed,Degree,166307,766,62508,Divorced,Medical,Yes
Employed,Masters,96980,832,89978,Married,House,Yes
Business Owner,Diploma,498269,398,33013,Divorced,Car,No
Unemployed,Degree,230089,314,139118,Single,Medical,Yes
Self-Employed,Diploma,61863,337,142769,Single,Car,No
Self-Employed,Secondary,270616,364,169665,Single,School,No
Unemployed,Diploma,273991,684,81474,Single,Business,Yes
Unemployed,Masters,205784,451,39995,Divorced,Medical,No
Employed,Diploma,484882,515,183715,Divorced,School,Yes
Employed,Masters,306990,385,135155,Single,House,No
Employed,Secondary,404615,694,149913,Single,School,Yes
Self-Employed,Degree,282021,629,135185,Divorced,Medical,Yes
Business Owner,Masters,322549,745,28656,Married,School,Yes
Self-Employed,Masters,91430,725,194384,Divorced,Business,No
Business Owner,Secondary,335789,559,171951,Single,Medical,No
Unemployed,Secondary,144316,521,11633,Single,Business,Yes
Unemployed,Secondary,331109,820,132867,Married,Car,No
Unemployed,Diploma,419685,565,178304,Married,Medical,No
Business Owner,Degree,160790,350,86680,Single,School,Yes
Business Owner,Masters,221540,330,96596,Divorced,Medical,No
Self-Employed,Masters,362749,337,72519,Married,Business,Yes
Employed,Degree,373806,710,101151,Single,Business,Yes
Unemployed,Degree,191880,618,108859,Divorced,Car,Yes
Unemployed,Secondary,192070,381,155210,Divorced,House,No
Self-Employed,Degree,259571,650,38911,Divorced,House,Yes
Unemployed,Diploma,301270,847,69204,Divorced,Business,Yes
Business Owner,Degree,269921,822,12016,Divorced,Car,Yes
Self-Employed,Masters,124711,414,104780,Single,House,No
Business Owner,Masters,275295,591,136183,Divorced,Business,No
Self-Employed,Diploma,341941,523,107058,Divorced,House,Yes
Unemployed,Diploma,396189,665,150219,Divorced,Car,No
Employed,Diploma,282622,363,10789,Single,Business,No
Business Owner,Diploma,462421,416,175548,Divorced,Business,No
Unemployed,Secondary,484168,693,60667,Divorced,School,Yes
Employed,Masters,417520,845,37585,Married,Medical,Yes
Unemployed,Masters,443539,639,2494,Divorced,School,Yes
Business Owner,Diploma,107826,668,10457,Single,Business,Yes
Business Owner,Diploma,326907,518,33768,Married,Business,Yes
Employed,Secondary,475212,411,77682,Divorced,Business,No
Business Owner,Masters,372201,399,23880,Single,School,No
Unemployed,Diploma,319713,616,198027,Divorced,Business,No
Business Owner,Secondary,370168,401,163956,Married,Car,No
Self-Employed,Degree,319653,508,19369,Divorced,House,Yes
Business Owner,Secondary,39926,400,94848,Married,School,Yes
Self-Employed,Degree,422490,569,187397,Married,House,Yes
Unemployed,Secondary,142615,338,9321,Divorced,House,No
Business Owner,Diploma,266225,431,114824,Married,Medical,No
Self-Employed,Degree,129967,667,115289,Single,Car,Yes
Business Owner,Secondary,141178,682,69261,Divorced,School,Yes
Business Owner,Secondary,256870,517,44363,Divorced,Business,Yes
Self-Employed,Degree,245581,838,190600,Single,School,Yes
Employed,Degree,345243,822,153080,Married,Business,Yes
Unemployed,Degree,212558,346,131320,Divorced,Car,Yes
Self-Employed,Diploma,375149,712,75659,Single,Car,Yes
Employed,Masters,205114,463,32872,Single,Medical,Yes
Unemployed,Degree,347585,517,11085,Single,Medical,Yes
Business Owner,Diploma,106299,353,41885,Single,Car,No
Business Owner,Masters,261857,676,92637,Single,Business,Yes
Self-Employed,Degree,91339,801,130594,Single,Medical,Yes
Employed,Masters,425696,601,131132,Single,House,Yes
Self-Employed,Diploma,147734,728,79804,Married,School,Yes
Unemployed,Degree,30230,532,120034,Married,House,No
Employed,Masters,438530,805,60230,Single,Medical,Yes
Employed,Secondary,331591,410,28849,Single,Medical,No
Employed,Secondary,187942,366,124167,Divorced,School,No
Employed,Secondary,128968,547,116812,Married,Medical,Yes
Business Owner,Masters,76975,475,99569,Single,Car,No
Unemployed,Diploma,424730,722,165180,Divorced,Medical,No
Self-Employed,Degree,429219,621,74644,Married,Car,Yes
Business Owner,Degree,302743,819,62777,Single,House,Yes
Unemployed,Secondary,218819,566,148475,Married,House,No
Self-Employed,Secondary,432228,786,10321,Single,Business,Yes
Employed,Masters,133828,568,34850,Married,Car,Yes
Business Owner,Diploma,145172,619,46908,Single,Car,Yes
Business Owner,Degree,312572,347,37209,Single,School,Yes
Business Owner,Diploma,376347,811,33019,Married,Car,Yes
Employed,Masters,498726,828,96534,Single,Business,Yes
Unemployed,Diploma,437577,791,83354,Divorced,Business,Yes
Unemployed,Diploma,492903,785,189589,Married,Business,No
Business Owner,Masters,206746,780,186503,Married,Car,No
Employed,Masters,383380,587,49069,Divorced,Business,Yes
Business Owner,Degree,141142,523,13136,Married,Business,Yes
Self-Employed,Degree,228993,416,55552,Single,Medical,Yes
Self-Employed,Secondary,386314,320,107254,Single,Medical,No
Unemployed,Masters,430196,693,193226,Single,Car,No
Unemployed,Diploma,353789,314,173762,Divorced,Car,No
Self-Employed,Masters,431180,768,190230,Divorced,Business,No
Business Owner,Secondary,392411,725,69458,Married,Car,Yes
Unemployed,Diploma,175676,452,43068,Divorced,School,No
Employed,Masters,111744,686,8474,Single,Car,Yes
Self-Employed,Degree,79179,337,1543,Married,House,Yes
Self-Employed,Degree,240796,750,164365,Single,School,Yes
Self-Employed,Degree,208726,622,46689,Single,House,Yes
Unemployed,Masters,242594,457,1490,Married,Car,Yes
Self-Employed,Secondary,416018,781,88912,Divorced,Car,Yes
Self-Employed,Masters,316851,530,178583,Single,Business,No
Unemployed,Secondary,204703,553,161224,Divorced,Business,No
Unemployed,Masters,219135,343,192364,Divorced,School,No
Unemployed,Diploma,416575,660,115751,Married,Business,Yes
Business Owner,Diploma,347323,513,21202,Divorced,House,Yes
Employed,Secondary,245627,635,137489,Single,House,Yes
Employed,Diploma,62538,825,194849,Divorced,House,Yes
Employed,Masters,207451,420,159661,Single,Car,No
Employed,Masters,369452,553,114631,Divorced,House,Yes
Unemployed,Degree,294179,849,110109,Divorced,Car,Yes
Business Owner,Degree,258321,428,1775,Married,House,Yes
Employed,Degree,123086,598,126670,Married,School,Yes
Employed,Diploma,438901,396,35753,Married,Business,Yes
Employed,Secondary,438969,679,55308,Married,Car,Yes
Business Owner,Masters,238386,469,56999,Divorced,Car,No
Employed,Diploma,287745,521,32550,Married,Medical,Yes
Business Owner,Masters,448370,565,196849,Single,House,No
Self-Employed,Diploma,323033,421,81660,Single,Car,No
Business Owner,Masters,142889,374,155160,Single,House,No
Business Owner,Secondary,312774,566,72908,Single,House,Yes
Self-Employed,Degree,456066,512,61971,Divorced,School,Yes
Unemployed,Degree,337206,788,26965,Single,House,Yes
Business Owner,Masters,455774,697,119520,Divorced,School,Yes
Business Owner,Diploma,244083,835,92082,Single,House,Yes
Self-Employed,Degree,360943,368,86941,Divorced,School,Yes
Business Owner,Degree,115503,794,191545,Single,Business,Yes
Employed,Degree,421022,460,86636,Married,Medical,Yes
Employed,Masters,430654,609,85845,Married,Medical,Yes
Employed,Masters,360246,507,20029,Divorced,House,Yes
Business Owner,Secondary,394960,520,152445,Single,Business,No
Business Owner,Degree,71481,534,192551,Single,School,Yes
Unemployed,Diploma,171521,598,164223,Married,School,No
Business Owner,Degree,267537,625,178751,Married,House,Yes
Unemployed,Diploma,470217,730,193071,Divorced,Car,No
Unemployed,Masters,327906,378,149698,Single,Car,No
Unemployed,Diploma,116968,671,48935,Single,House,Yes
Self-Employed,Masters,88466,825,120101,Married,House,No
Self-Employed,Diploma,101450,844,97235,Divorced,Business,Yes
Self-Employed,Diploma,416081,514,17407,Divorced,House,Yes
Self-Employed,Masters,149378,832,155607,Divorced,School,No
Unemployed,Masters,219015,387,149606,Single,Medical,No
Self-Employed,Masters,139967,760,92803,Divorced,Business,Yes
Employed,Masters,463170,541,196696,Married,House,Yes
Business Owner,Degree,468082,442,75048,Single,Business,Yes
Employed,Diploma,232893,586,54805,Single,Car,Yes
Unemployed,Diploma,420950,531,132035,Divorced,Medical,No
Employed,Degree,323650,560,187645,Single,Medical,Yes
Unemployed,Diploma,309908,331,44600,Married,Medical,Yes
Unemployed,Secondary,161542,617,39197,Single,Car,Yes
Business Owner,Degree,139976,770,193340,Divorced,Car,Yes
Business Owner,Degree,414800,346,49175,Divorced,Car,Yes
Unemployed,Masters,285251,642,159646,Single,School,No
Self-Employed,Degree,272841,585,171129,Divorced,House,Yes
Employed,Masters,160384,795,17192,Married,Car,Yes
Employed,Diploma,269579,343,145146,Married,House,No
Self-Employed,Secondary,43692,330,13441,Married,Medical,Yes
Unemployed,Diploma,132772,682,52088,Single,School,Yes
Employed,Degree,446345,617,133890,Married,House,Yes
Business Owner,Degree,188958,840,28088,Divorced,School,Yes
Business Owner,Degree,151004,771,179400,Divorced,Medical,Yes
Unemployed,Secondary,358877,523,11736,Single,School,Yes
Self-Employed,Diploma,403410,773,69220,Divorced,Car,Yes
Employed,Masters,465994,735,94295,Divorced,Medical,Yes
Self-Employed,Secondary,308171,729,121511,Married,Car,No
Self-Employed,Secondary,252192,344,45588,Divorced,Car,No
Employed,Diploma,275299,825,11791,Single,School,Yes
Business Owner,Diploma,247935,666,105923,Divorced,Business,Yes
Business Owner,Degree,214309,503,170840,Married,Car,Yes
Self-Employed,Diploma,469112,497,89748,Single,Car,Yes
Unemployed,Degree,53172,443,53532,Married,Car,Yes
Business Owner,Masters,99640,401,180513,Single,Business,No
Business Owner,Secondary,60837,622,160067,Divorced,Medical,No
Unemployed,Diploma,422352,307,116082,Divorced,Car,No
Business Owner,Secondary,300786,652,43905,Divorced,Business,Yes
Employed,Diploma,332170,656,111687,Single,School,Yes
Unemployed,Masters,338431,742,158823,Married,School,No
Employed,Masters,310980,532,74572,Married,Medical,Yes
Unemployed,Diploma,236014,715,171134,Divorced,Medical,No
Employed,Degree,354120,730,35393,Married,Business,Yes
Self-Employed,Diploma,330644,731,87262,Divorced,Car,Yes
Business Owner,Secondary,484086,557,83316,Divorced,School,Yes
Unemployed,Diploma,347736,592,4756,Married,Car,Yes
Unemployed,Masters,277371,760,154965,Divorced,School,No
Unemployed,Degree,43119,367,157786,Married,Medical,No
Unemployed,Masters,374218,836,174648,Single,Car,No
Self-Employed,Secondary,384213,460,84257,Single,Business,No
Unemployed,Masters,58404,701,134238,Married,House,No
Self-Employed,Secondary,246893,787,83939,Married,Medical,Yes
Unemployed,Degree,328745,328,8567,Married,Car,Yes
Employed,Secondary,233107,436,117004,Single,House,No
Unemployed,Diploma,496739,604,138790,Married,House,No
Unemployed,Degree,486286,749,92655,Single,Car,Yes
Self-Employed,Secondary,232922,478,82904,Single,Business,No
Self-Employed,Degree,73006,668,146334,Divorced,Business,Yes
Business Owner,Diploma,111688,566,114709,Married,Business,Yes
Self-Employed,Masters,52765,419,136484,Single,Car,No
Self-Employed,Masters,268053,502,161335,Divorced,Car,No
Business Owner,Diploma,306180,423,134749,Single,Medical,No
Unemployed,Diploma,293511,361,30308,Divorced,House,No
Employed,Secondary,493294,613,183396,Single,Car,Yes
Employed,Diploma,458208,670,47954,Married,Business,Yes
Employed,Secondary,298682,548,73864,Single,Car,Yes
Employed,Degree,149855,326,100958,Divorced,Business,Yes
Self-Employed,Secondary,40781,435,117545,Divorced,Car,No
Self-Employed,Degree,231406,714,198289,Married,Business,Yes
Business Owner,Masters,215472,374,94521,Married,Car,Yes
Unemployed,Degree,279849,321,42658,Married,School,Yes
Employed,Degree,62674,689,73333,Divorced,School,Yes
Employed,Diploma,51184,305,57653,Single,Car,No
Business Owner,Secondary,468848,666,183023,Married,Business,No
Business Owner,Degree,251985,718,189845,Divorced,School,Yes
Employed,Masters,415179,375,140744,Divorced,Business,No
Unemployed,Masters,234134,356,139266,Single,School,No
Unemployed,Degree,244300,301,91985,Married,Business,Yes
Employed,Secondary,404872,495,38386,Single,School,Yes
Unemployed,Diploma,318433,828,180716,Single,School,No
Business Owner,Diploma,349638,809,103981,Divorced,Medical,Yes
Self-Employed,Diploma,407364,313,139525,Single,Car,No
Business Owner,Diploma,48001,787,97242,Single,Medical,No
Unemployed,Degree,442517,576,97613,Divorced,Car,Yes
Self-Employed,Degree,76236,345,60328,Married,House,Yes
Employed,Masters,160174,760,160252,Divorced,House,Yes
Business Owner,Degree,136630,786,180779,Divorced,Car,Yes
Employed,Degree,271948,411,45923,Single,Medical,Yes
Business Owner,Secondary,424341,594,29355,Divorced,School,Yes
Self-Employed,Masters,88255,778,56148,Married,School,Yes
Employed,Masters,98325,301,127611,Single,Medical,No
Employed,Secondary,492208,720,120985,Married,School,Yes
Employed,Degree,433393,779,36651,Married,Business,Yes
Self-Employed,Secondary,31449,590,119632,Single,School,No
Self-Employed,Secondary,249177,572,198053,Single,Car,No
